genie3,seedling1wk,iqr,2,2 days and 17:03:50
pcc,seedling1wk,iqrv1,6,0:12:15
pcc,seedling1wk,mixv1,4,0:16:26
pcc,seedling1wk,nofilter,8,0:20:22
pcc,seedling1wk,mix-v1,2,0:09:24
clr,seedling1wk,iqr,4,14:45:38
aracne,seedling1wk,iqr,2,2 days and 6:21:01
fastggm,seedling1wk,iqr,2,3 days and 0:00:37
mrnet,seedling1wk,iqr,2,5:23:12
tinge,seedling1wk,iqrv1,4,0:29:40
tinge,seedling1wk,mixv1,2,0:25:21
tinge,seedling1wk,nofilter,4,0:51:07
tinge,seedling1wk,mix-v1,4,0:23:17
wgcna,seedling2wk,iqrv1,8,0:09:29
wgcna,seedling2wk,nofilter,8,0:15:04
wgcna,seedling2wk,mixv1,8,0:06:00
grnboost,seedling2wk,mix,2,14:52:58
grnboost,seedling2wk,iqr,2,20:52:32
grnboost,seedling2wk,nofilter,2,1 day and 11:07:26
genie3,seedling2wk,iqr,2,1 day and 17:15:41
pcc,seedling2wk,mix-v1,2,0:06:15
pcc,seedling2wk,iqrv1,6,0:10:06
pcc,seedling2wk,nofilter,8,0:15:58
pcc,seedling2wk,mixv1,4,0:13:19
clr,seedling2wk,iqr,4,10:29:24
aracne,seedling2wk,iqr,2,1 day and 8:06:44
fastggm,seedling2wk,iqr,2,3 days and 0:00:44
mrnet,seedling2wk,iqr,2,6:09:26
tinge,seedling2wk,mix-v1,2,0:13:13
tinge,seedling2wk,iqrv1,4,0:21:19
tinge,seedling2wk,nofilter,4,0:33:21
tinge,seedling2wk,mixv1,2,0:14:21
wgcna,shoot,iqrv1,8,0:08:28
wgcna,shoot,nofilter,6,0:14:07
wgcna,shoot,mixv1,8,0:07:03
grnboost,shoot,iqr,2,19:25:37
grnboost,shoot,mix,2,14:58:02
grnboost,shoot,nofilter,2,1 day and 7:19:26
genie3,shoot,iqr,2,1 day and 10:59:52
pcc,shoot,mix-v1,2,0:06:47
pcc,shoot,iqrv1,6,0:08:46
pcc,shoot,nofilter,8,0:15:03
pcc,shoot,mixv1,4,0:15:04
clr,shoot,iqr,4,8:43:44
aracne,shoot,iqr,2,1 day and 4:06:13
fastggm,shoot,iqr,2,3 days and 0:00:21
mrnet,shoot,iqr,2,5:22:57
tinge,shoot,mix-v1,2,0:13:51
tinge,shoot,iqrv1,4,0:17:33
tinge,shoot,nofilter,4,0:30:31
tinge,shoot,mixv1,2,0:13:58
wgcna,stress-light,iqrv1,8,0:06:32
wgcna,stress-light,mixv1,8,0:04:58
wgcna,stress-light,nofilter,6,0:10:14
grnboost,stress-light,mix,2,11:25:45
grnboost,stress-light,nofilter,2,1 day and 0:32:55
grnboost,stress-light,iqr,2,4:20:31
genie3,stress-light,iqr,2,9:45:28
pcc,stress-light,iqrv1,4,0:06:18
pcc,stress-light,mix-v1,2,0:04:39
pcc,stress-light,mixv1,2,0:04:38
pcc,stress-light,nofilter,6,0:09:57
clr,stress-light,iqr,4,3:25:43
aracne,stress-light,iqr,2,14:52:04
fastggm,stress-light,iqr,2,3 days and 0:00:16
mrnet,stress-light,iqr,2,6:07:06
tinge,stress-light,iqrv1,8,0:06:51
tinge,stress-light,mix-v1,2,0:05:10
tinge,stress-light,mixv1,6,0:05:07
tinge,stress-light,nofilter,8,0:10:53
wgcna,stress-other,iqrv1,8,0:07:59
wgcna,stress-other,mixv1,8,0:04:59
wgcna,stress-other,nofilter,6,0:09:54
grnboost,stress-other,nofilter,2,1 day and 0:50:59
grnboost,stress-other,mix,2,14:42:58
grnboost,stress-other,iqr,2,6:05:46
genie3,stress-other,iqr,2,9:51:07
pcc,stress-other,iqrv1,4,0:07:30
pcc,stress-other,mix-v1,2,0:05:40
pcc,stress-other,mixv1,2,0:04:42
pcc,stress-other,nofilter,6,0:09:42
clr,stress-other,iqr,4,3:52:26
aracne,stress-other,iqr,2,2 days and 5:33:51
fastggm,stress-other,iqr,2,3 days and 0:01:24
mrnet,stress-other,iqr,2,9:05:36
tinge,stress-other,iqrv1,8,0:07:46
tinge,stress-other,mix-v1,2,0:05:52
tinge,stress-other,mixv1,6,0:04:52
tinge,stress-other,nofilter,8,0:10:00
wgcna,stress-pathogen,nofilter,6,0:13:59
wgcna,stress-pathogen,mixv1,8,0:07:39
wgcna,stress-pathogen,iqrv1,8,0:09:31
grnboost,stress-pathogen,iqr,2,19:20:02
grnboost,stress-pathogen,mix,2,17:53:56
grnboost,stress-pathogen,nofilter,2,1 day and 7:19:06
genie3,stress-pathogen,iqr,2,1 day and 12:04:51
pcc,stress-pathogen,nofilter,6,0:15:01
pcc,stress-pathogen,mixv1,2,0:07:56
pcc,stress-pathogen,iqrv1,4,0:09:59
pcc,stress-pathogen,mix-v1,2,0:07:56
clr,stress-pathogen,iqr,4,9:50:29
aracne,stress-pathogen,iqr,2,3 days and 1:49:56
fastggm,stress-pathogen,iqr,2,3 days and 0:00:20
mrnet,stress-pathogen,iqr,2,7:10:41
tinge,stress-pathogen,nofilter,8,0:29:27
tinge,stress-pathogen,mixv1,6,0:15:52
tinge,stress-pathogen,iqrv1,8,0:19:52
tinge,stress-pathogen,mix-v1,2,0:15:53
wgcna,stress-salt-drought,iqrv1,8,0:07:53
wgcna,stress-salt-drought,nofilter,6,0:11:25
wgcna,stress-salt-drought,mixv1,8,0:06:15
grnboost,stress-salt-drought,mix,2,15:20:34
grnboost,stress-salt-drought,nofilter,2,17:42:48
grnboost,stress-salt-drought,iqr,2,8:02:08
genie3,stress-salt-drought,iqr,2,18:14:10
pcc,stress-salt-drought,iqrv1,4,0:07:54
pcc,stress-salt-drought,nofilter,6,0:11:32
pcc,stress-salt-drought,mixv1,2,0:06:01
pcc,stress-salt-drought,mix-v1,2,0:05:58
clr,stress-salt-drought,iqr,4,5:45:02
aracne,stress-salt-drought,iqr,2,2 days and 6:36:49
fastggm,stress-salt-drought,iqr,2,3 days and 0:00:19
mrnet,stress-salt-drought,iqr,2,7:05:33
tinge,stress-salt-drought,iqrv1,8,0:11:33
tinge,stress-salt-drought,nofilter,8,0:16:50
tinge,stress-salt-drought,mixv1,6,0:08:57
tinge,stress-salt-drought,mix-v1,2,0:08:48
wgcna,stress-temperature,mixv1,8,0:06:55
wgcna,stress-temperature,iqrv1,8,0:07:59
wgcna,stress-temperature,nofilter,6,0:13:29
grnboost,stress-temperature,iqr,2,10:50:33
grnboost,stress-temperature,nofilter,2,1 day and 5:33:59
grnboost,stress-temperature,mix,2,15:20:17
genie3,stress-temperature,iqr,2,1 day and 3:45:07
pcc,stress-temperature,mixv1,2,0:07:06
pcc,stress-temperature,iqrv1,4,0:08:10
pcc,stress-temperature,mix-v1,2,0:07:13
pcc,stress-temperature,nofilter,6,0:14:12
