FileId,Accepted,QCNotes
E-MTAB-2565_22,Y,NA
E-MTAB-2565_23,Y,NA
E-MTAB-2565_24,Y,NA
E-MTAB-2565_25,Y,NA
E-MTAB-2565_26,Y,NA
E-MTAB-2565_27,Y,NA
E-MTAB-2565_28,Y,NA
E-MTAB-2565_29,Y,NA
E-MTAB-2565_3,Y,NA
E-MTAB-2565_30,Y,NA
E-MTAB-2565_31,Y,NA
E-MTAB-2565_32,Y,NA
E-MTAB-2565_33,Y,NA
E-MTAB-2565_34,Y,NA
E-MTAB-2565_35,Y,NA
E-MTAB-2565_36,Y,NA
E-MTAB-2565_37,Y,NA
E-MTAB-2565_38,Y,NA
E-MTAB-2565_39,Y,NA
E-MTAB-2565_4,Y,NA
E-MTAB-2565_40,Y,NA
E-MTAB-2565_41,Y,NA
E-MTAB-2565_42,Y,NA
E-MTAB-2565_43,Y,NA
E-MTAB-2565_44,Y,NA
E-MTAB-2565_45,Y,NA
E-MTAB-2565_46,Y,NA
E-MTAB-2565_47,Y,NA
E-MTAB-2565_48,Y,NA
E-MTAB-2565_49,Y,NA
E-MTAB-2565_5,Y,NA
E-MTAB-2565_50,Y,NA
E-MTAB-2565_51,Y,NA
E-MTAB-2565_52,Y,NA
E-MTAB-2565_53,N,Manual Rejection
E-MTAB-2565_54,Y,NA
E-MTAB-2565_55,Y,NA
E-MTAB-2565_56,Y,NA
E-MTAB-2565_57,Y,NA
E-MTAB-2565_58,Y,NA
E-MTAB-2565_59,Y,NA
E-MTAB-2565_6,Y,NA
E-MTAB-2565_60,Y,NA
E-MTAB-2565_61,Y,NA
E-MTAB-2565_62,Y,NA
E-MTAB-2565_63,Y,NA
E-MTAB-2565_64,Y,NA
E-MTAB-2565_65,Y,NA
E-MTAB-2565_66,Y,NA
E-MTAB-2565_67,Y,NA
E-MTAB-2565_68,Y,NA
E-MTAB-2565_69,Y,NA
E-MTAB-2565_7,Y,NA
E-MTAB-2565_70,Y,NA
E-MTAB-2565_71,Y,NA
E-MTAB-2565_72,Y,NA
E-MTAB-2565_8,Y,NA
E-MTAB-2565_9,Y,NA
E-MTAB-2853_1,Y,NA
E-MTAB-2853_10,Y,NA
E-MTAB-2853_11,Y,NA
E-MTAB-2853_12,Y,NA
E-MTAB-2853_2,Y,NA
E-MTAB-2853_3,Y,NA
E-MTAB-2853_4,Y,NA
E-MTAB-2853_5,Y,NA
E-MTAB-2853_6,Y,NA
E-MTAB-2853_7,Y,NA
E-MTAB-2853_8,Y,NA
E-MTAB-2853_9,Y,NA
E-MTAB-3400_1,Y,NA
E-MTAB-3400_10,Y,NA
E-MTAB-3400_11,Y,NA
E-MTAB-3400_12,Y,NA
E-MTAB-3400_2,Y,NA
E-MTAB-3400_3,Y,NA
E-MTAB-3400_4,Y,NA
E-MTAB-3400_5,Y,NA
E-MTAB-3400_6,Y,NA
E-MTAB-3400_7,Y,NA
E-MTAB-3400_8,Y,NA
E-MTAB-3400_9,Y,NA
E-MTAB-3402_1,Y,NA
E-MTAB-3402_2,Y,NA
E-MTAB-3402_3,Y,NA
E-MTAB-3402_4,Y,NA
E-MTAB-3402_5,Y,NA
E-MTAB-3402_6,Y,NA
E-MTAB-3402_7,Y,NA
E-MTAB-3402_8,Y,NA
E-MTAB-3451_1,Y,NA
E-MTAB-3451_10,Y,NA
E-MTAB-3451_11,Y,NA
E-MTAB-3451_12,Y,NA
E-MTAB-3451_13,Y,NA
E-MTAB-3451_14,Y,NA
E-MTAB-3451_15,N,Automatic QC Rejection
E-MTAB-3451_16,Y,NA
E-MTAB-3451_2,Y,NA
E-MTAB-3451_3,Y,NA
E-MTAB-3451_4,Y,NA
E-MTAB-3451_5,Y,NA
E-MTAB-3451_6,Y,NA
E-MTAB-3451_7,Y,NA
E-MTAB-3451_8,Y,NA
E-MTAB-3451_9,Y,NA
E-MTAB-4129_1,Y,NA
E-MTAB-4129_2,Y,NA
E-MTAB-4129_3,Y,NA
E-MTAB-4129_4,Y,Manual Acceptance
E-MTAB-4129_5,Y,NA
E-MTAB-4129_6,Y,NA
E-MTAB-4130_1,Y,NA
E-MTAB-4130_10,Y,NA
E-MTAB-4130_11,Y,NA
E-MTAB-4130_12,Y,NA
E-MTAB-4130_2,Y,NA
E-MTAB-4130_3,Y,NA
E-MTAB-4130_4,Y,NA
E-MTAB-4130_5,Y,NA
E-MTAB-4130_6,Y,NA
E-MTAB-4130_7,Y,NA
E-MTAB-4130_8,Y,NA
E-MTAB-4130_9,Y,NA
E-MTAB-5607_1,Y,NA
E-MTAB-5607_2,Y,NA
E-MTAB-5607_3,Y,NA
E-MTAB-5607_4,Y,NA
E-MTAB-5607_5,Y,NA
E-MTAB-5607_6,Y,NA
E-MTAB-5610_1,Y,NA
E-MTAB-5610_2,Y,NA
E-MTAB-5610_3,Y,NA
E-MTAB-5610_4,Y,NA
E-MTAB-5610_5,Y,NA
E-MTAB-5610_6,Y,NA
E-TABM-17_16,Y,NA
E-TABM-17_17,Y,NA
E-TABM-17_18,Y,NA
E-TABM-17_214,N,Manual Rejection
E-TABM-17_215,Y,NA
E-TABM-17_216,Y,NA
E-TABM-17_22,Y,NA
E-TABM-17_226,Y,NA
E-TABM-17_227,Y,NA
E-TABM-17_228,Y,NA
E-TABM-17_229,Y,NA
E-TABM-17_23,Y,NA
E-TABM-17_230,Y,NA
E-TABM-17_231,Y,NA
E-TABM-17_24,Y,NA
E-TABM-17_55,Y,NA
E-TABM-17_56,Y,NA
E-TABM-17_57,Y,NA
E-TABM-17_58,Y,NA
E-TABM-17_59,Y,NA
E-TABM-17_60,Y,NA
E-TABM-821_1,Y,NA
E-TABM-821_2,Y,NA
E-TABM-821_3,Y,NA
E-TABM-821_4,Y,NA
GSE100903_GSM2695897,Y,NA
GSE100903_GSM2695898,Y,NA
GSE100903_GSM2695899,Y,NA
GSE100903_GSM2695900,Y,NA
GSE100903_GSM2695901,Y,NA
GSE100903_GSM2695902,Y,NA
GSE100903_GSM2695903,Y,NA
GSE100903_GSM2695904,Y,NA
GSE100903_GSM2695905,Y,NA
GSE100903_GSM2695906,Y,NA
GSE100903_GSM2695907,Y,NA
GSE100903_GSM2695908,Y,NA
GSE100903_GSM2695909,Y,NA
GSE100903_GSM2695910,Y,NA
GSE100903_GSM2695911,Y,NA
GSE10248_GSM258792,Y,NA
GSE10248_GSM258793,Y,NA
GSE10248_GSM258794,Y,NA
GSE10248_GSM258795,Y,NA
GSE10248_GSM258796,Y,NA
GSE10248_GSM258797,Y,NA
GSE102691_GSM2743071,Y,NA
GSE102691_GSM2743072,Y,NA
GSE102691_GSM2743073,Y,NA
GSE102691_GSM2743074,Y,NA
GSE102691_GSM2743075,Y,NA
GSE102691_GSM2743076,N,Automatic QC Rejection
GSE102691_GSM2743077,Y,NA
GSE102691_GSM2743078,Y,NA
GSE10323_GSM260880,Y,NA
GSE10323_GSM260881,Y,NA
GSE10323_GSM260882,Y,NA
GSE10323_GSM260883,Y,NA
GSE103917_GSM2786139,Y,Manual Acceptance
GSE103917_GSM2786140,Y,Manual Acceptance
GSE103917_GSM2786141,Y,NA
GSE103917_GSM2786142,Y,Manual Acceptance
GSE103917_GSM2786143,Y,Manual Acceptance
GSE103917_GSM2786144,Y,NA
GSE103917_GSM2786145,Y,NA
GSE103917_GSM2786146,Y,NA
GSE103917_GSM2786147,Y,NA
GSE103917_GSM2786148,Y,NA
GSE103917_GSM2786149,Y,NA
GSE103917_GSM2786150,Y,NA
GSE103917_GSM2786151,Y,NA
GSE103917_GSM2786152,Y,NA
GSE103917_GSM2786153,Y,NA
GSE103917_GSM2786154,Y,NA
GSE103917_GSM2786155,Y,NA
GSE103917_GSM2786156,Y,NA
GSE10496_GSM265411,Y,NA
GSE10496_GSM265412,Y,NA
GSE10496_GSM265413,Y,NA
GSE10496_GSM265414,N,Automatic QC Rejection
GSE10496_GSM265415,Y,NA
GSE10496_GSM265416,Y,NA
GSE10497_GSM265418,Y,NA
GSE10497_GSM265419,Y,NA
GSE10497_GSM265420,Y,NA
GSE10497_GSM265421,Y,NA
GSE10497_GSM265422,N,Automatic QC Rejection
GSE10497_GSM265423,Y,NA
GSE10497_GSM265424,Y,NA
GSE10497_GSM265425,Y,NA
GSE10497_GSM265426,Y,NA
GSE10497_GSM265427,Y,NA
GSE10497_GSM265428,Y,NA
GSE10497_GSM265429,Y,NA
GSE10497_GSM265430,Y,NA
GSE10497_GSM265431,Y,NA
GSE10497_GSM265432,Y,NA
GSE10497_GSM265433,Y,NA
GSE10501_GSM266662,Y,NA
GSE10501_GSM266663,Y,NA
GSE10501_GSM266664,Y,NA
GSE10501_GSM266665,Y,NA
GSE10501_GSM266666,Y,NA
GSE10501_GSM266667,Y,NA
GSE10501_GSM266668,Y,NA
GSE10501_GSM266669,Y,NA
GSE10501_GSM266670,Y,NA
GSE10501_GSM266671,Y,NA
GSE10501_GSM266672,Y,NA
GSE10501_GSM266673,Y,NA
GSE10501_GSM266674,Y,NA
GSE10501_GSM266675,Y,NA
GSE10501_GSM266676,Y,NA
GSE10501_GSM266677,Y,NA
GSE10502_GSM265461,Y,NA
GSE10502_GSM265462,N,Manual Rejection
GSE10502_GSM265463,Y,NA
GSE10502_GSM265464,Y,NA
GSE10502_GSM265465,Y,NA
GSE10502_GSM265466,Y,NA
GSE10502_GSM265467,Y,NA
GSE10502_GSM265468,Y,NA
GSE10502_GSM265469,Y,NA
GSE10502_GSM265470,Y,NA
GSE10502_GSM265471,Y,NA
GSE10502_GSM265472,Y,NA
GSE10502_GSM265473,Y,NA
GSE10502_GSM265474,Y,NA
GSE10576_GSM265411,N,Duplicate Sample
GSE10576_GSM265412,N,Duplicate Sample
GSE10576_GSM265413,N,Duplicate Sample
GSE10576_GSM265414,N,Duplicate Sample
GSE10576_GSM265415,N,Duplicate Sample
GSE10576_GSM265416,N,Duplicate Sample
GSE10576_GSM265418,N,Duplicate Sample
GSE10576_GSM265419,N,Duplicate Sample
GSE10576_GSM265420,N,Duplicate Sample
GSE10576_GSM265421,N,Duplicate Sample
GSE10576_GSM265422,N,Duplicate Sample
GSE10576_GSM265423,N,Duplicate Sample
GSE10576_GSM265424,N,Duplicate Sample
GSE10576_GSM265425,N,Duplicate Sample
GSE10576_GSM265426,N,Duplicate Sample
GSE10576_GSM265427,N,Duplicate Sample
GSE10576_GSM265428,N,Duplicate Sample
GSE10576_GSM265429,N,Duplicate Sample
GSE10576_GSM265430,N,Duplicate Sample
GSE10576_GSM265431,N,Duplicate Sample
GSE10576_GSM265432,N,Duplicate Sample
GSE10576_GSM265433,N,Duplicate Sample
GSE10576_GSM265461,N,Duplicate Sample
GSE10576_GSM265462,N,Duplicate Sample
GSE10576_GSM265463,N,Duplicate Sample
GSE10576_GSM265464,N,Duplicate Sample
GSE10576_GSM265465,N,Duplicate Sample
GSE10576_GSM265466,N,Duplicate Sample
GSE10576_GSM265467,N,Duplicate Sample
GSE10576_GSM265468,N,Duplicate Sample
GSE10576_GSM265469,N,Duplicate Sample
GSE10576_GSM265470,N,Duplicate Sample
GSE10576_GSM265471,N,Duplicate Sample
GSE10576_GSM265472,N,Duplicate Sample
GSE10576_GSM265473,N,Duplicate Sample
GSE10576_GSM265474,N,Duplicate Sample
GSE10576_GSM266662,N,Duplicate Sample
GSE10576_GSM266663,N,Duplicate Sample
GSE10576_GSM266664,N,Duplicate Sample
