Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Characteristics[developmental stage]	Characteristics[genotype]	Characteristics[age]	Unit[time unit]	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[growth condition]	FactorValue[genotype]
GSE9728GSM88050	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings:  csn4-1 mutant 7 day old seedlings light grown. mutant, 7 day old seedlings, light grown"	seedling	csn4-1 mutant	7	day	GSE9728GSM88050 sample	P-G9728-2	GSE9728GSM88050 extract	total_RNA	P-G9728-1	GSE9728GSM88050 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	csn4-1_mutant replicate 2	A-AFFY-2	P-AFFY-6	csn4-1_mutant replicate 2	GSM88050.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	light	csn4-1 mutant
GSE9728GSM88051	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings:  csn4-1 mutant 7 day old seedlings light grown. mutant, 7 day old seedlings, light grown"	seedling	csn4-1 mutant	7	day	GSE9728GSM88051 sample	P-G9728-2	GSE9728GSM88051 extract	total_RNA	P-G9728-1	GSE9728GSM88051 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	csn4-1_mutant replicate 3	A-AFFY-2	P-AFFY-6	csn4-1_mutant replicate 3	GSM88051.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	light	csn4-1 mutant
GSE9728GSM245927	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings, dark grown:  csn5 (csn5a-2 csn5b) mutant 7 day old seedlings dark grown. mutant, 7 day old seedlings, dark grown"	seedling	csn5 (csn5a-2 csn5b) mutant	7	day	GSE9728GSM245927 sample	P-G9728-9	GSE9728GSM245927 extract	total_RNA	P-G9728-1	GSE9728GSM245927 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	csn5 (csn5a-2 csn5b) mutant dark replicate 3	A-AFFY-2	P-AFFY-6	csn5 (csn5a-2 csn5b) mutant dark replicate 3	GSM245927.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	dark	csn5 (csn5a-2 csn5b) mutant
GSE9728GSM245925	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings, dark grown:  csn5 (csn5a-2 csn5b) mutant 7 day old seedlings dark grown. mutant, 7 day old seedlings, dark grown"	seedling	csn5 (csn5a-2 csn5b) mutant	7	day	GSE9728GSM245925 sample	P-G9728-9	GSE9728GSM245925 extract	total_RNA	P-G9728-1	GSE9728GSM245925 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	csn5 (csn5a-2 csn5b) mutant dark replicate 1	A-AFFY-2	P-AFFY-6	csn5 (csn5a-2 csn5b) mutant dark replicate 1	GSM245925.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	dark	csn5 (csn5a-2 csn5b) mutant
GSE9728GSM245926	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings, dark grown:  csn5 (csn5a-2 csn5b) mutant 7 day old seedlings dark grown. mutant, 7 day old seedlings, dark grown"	seedling	csn5 (csn5a-2 csn5b) mutant	7	day	GSE9728GSM245926 sample	P-G9728-9	GSE9728GSM245926 extract	total_RNA	P-G9728-1	GSE9728GSM245926 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	csn5 (csn5a-2 csn5b) mutant dark replicate 2	A-AFFY-2	P-AFFY-6	csn5 (csn5a-2 csn5b) mutant dark replicate 2	GSM245926.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	dark	csn5 (csn5a-2 csn5b) mutant
GSE9728GSM245915	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings, light grown:  csn5 (csn5a-2 csn5b) mutant 7 day old seedlings light grown. mutant, 7 day old seedlings, light grown"	seedling	csn5 (csn5a-2 csn5b) mutant	7	day	GSE9728GSM245915 sample	P-G9728-5	GSE9728GSM245915 extract	total_RNA	P-G9728-1	GSE9728GSM245915 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	csn5 (csn5a-2 csn5b)  mutant light  replicate 3	A-AFFY-2	P-AFFY-6	csn5 (csn5a-2 csn5b)  mutant light  replicate 3	GSM245915.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	light	csn5 (csn5a-2 csn5b) mutant
GSE9728GSM245913	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings, light grown:  csn5 (csn5a-2 csn5b) mutant 7 day old seedlings light grown. mutant, 7 day old seedlings, light grown"	seedling	csn5 (csn5a-2 csn5b) mutant	7	day	GSE9728GSM245913 sample	P-G9728-5	GSE9728GSM245913 extract	total_RNA	P-G9728-1	GSE9728GSM245913 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	csn5 (csn5a-2 csn5b)  mutant light  replicate 1	A-AFFY-2	P-AFFY-6	csn5 (csn5a-2 csn5b)  mutant light  replicate 1	GSM245913.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	light	csn5 (csn5a-2 csn5b) mutant
GSE9728GSM245914	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings, light grown:  csn5 (csn5a-2 csn5b) mutant 7 day old seedlings light grown. mutant, 7 day old seedlings, light grown"	seedling	csn5 (csn5a-2 csn5b) mutant	7	day	GSE9728GSM245914 sample	P-G9728-5	GSE9728GSM245914 extract	total_RNA	P-G9728-1	GSE9728GSM245914 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	csn5 (csn5a-2 csn5b) mutant light  replicate 2	A-AFFY-2	P-AFFY-6	csn5 (csn5a-2 csn5b) mutant light  replicate 2	GSM245914.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	light	csn5 (csn5a-2 csn5b) mutant
GSE9728GSM245916	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings, dark grown:  wild type 7 day old seedlings, dark grown. wild type, 7day old seedlings, dark grown"	seedling	wild type	7	day	GSE9728GSM245916 sample	P-G9728-6	GSE9728GSM245916 extract	total_RNA	P-G9728-1	GSE9728GSM245916 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	wild type dark replicate 1	A-AFFY-2	P-AFFY-6	wild type dark replicate 1	GSM245916.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	dark	wild type
GSE9728GSM245918	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings, dark grown:  wild type 7 day old seedlings, dark grown. wild type, 7 day old seedlings, dark grown"	seedling	wild type	7	day	GSE9728GSM245918 sample	P-G9728-6	GSE9728GSM245918 extract	total_RNA	P-G9728-1	GSE9728GSM245918 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	wild type dark replicate 3	A-AFFY-2	P-AFFY-6	wild type dark replicate 3	GSM245918.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	dark	wild type
GSE9728GSM245917	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings, dark grown:  wild type 7 day old seedlings, dark grown. wild type, 7 day old seedlings, dark grown"	seedling	wild type	7	day	GSE9728GSM245917 sample	P-G9728-6	GSE9728GSM245917 extract	total_RNA	P-G9728-1	GSE9728GSM245917 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	wild type dark replicate 2	A-AFFY-2	P-AFFY-6	wild type dark replicate 2	GSM245917.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	dark	wild type
GSE9728GSM88056	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings:  CSN4-1 wild type 7 day old seedlings. wild type, 7 day old seedlings, light grown"	seedling	wild type	7	day	GSE9728GSM88056 sample	P-G9728-3	GSE9728GSM88056 extract	total_RNA	P-G9728-1	GSE9728GSM88056 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	wild type replicate 2 light	A-AFFY-2	P-AFFY-6	wild type replicate 2 light	GSM88056.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	light	wild type
GSE9728GSM88057	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings:  CSN4-1 wild type 7 day old seedlings. wild type, 7 day old seedlings, light grown"	seedling	wild type	7	day	GSE9728GSM88057 sample	P-G9728-3	GSE9728GSM88057 extract	total_RNA	P-G9728-1	GSE9728GSM88057 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	wild type replicate 3 light	A-AFFY-2	P-AFFY-6	wild type replicate 3 light	GSM88057.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	light	wild type
GSE9728GSM88055	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings:  CSN4-1 wild type 7 day old seedlings. wild type, 7day old seedlings, light grown"	seedling	wild type	7	day	GSE9728GSM88055 sample	P-G9728-3	GSE9728GSM88055 extract	total_RNA	P-G9728-1	GSE9728GSM88055 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	wild type replicate 1 light	A-AFFY-2	P-AFFY-6	wild type replicate 1 light	GSM88055.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	light	wild type
