Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [StrainOrLine]	Term Source REF	Term Accession Number	Comment[Compound]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Factor Value [STRAIN]	Term Source REF	Term Accession Number
ABRC-CS57658 2	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57658	EFO	EFO_0000054	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57658 2	P-TABM-103	ABRC-CS57658 2	total_RNA	P-TABM-hans19	ABRC-CS57658 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R768	A-AFFY-2	P-AFFY-6	R768	R768.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57658	EFO	EFO_0000054
ABRC-CS57515 1	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57515	EFO	EFO_0000004	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57515 1	P-TABM-103	ABRC-CS57515 1	total_RNA	P-TABM-hans19	ABRC-CS57515 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R325	A-AFFY-2	P-AFFY-6	R325	R325.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57515	EFO	EFO_0000004
ABRC-CS57684 1	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57684	  	  	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57684 1	P-TABM-103	ABRC-CS57684 1	total_RNA	P-TABM-hans19	ABRC-CS57684 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R1142	A-AFFY-2	P-AFFY-6	R1142	R1142.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57684	  	  
ABRC-CS57723 2	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57723	  	  	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57723 2	P-TABM-103	ABRC-CS57723 2	total_RNA	P-TABM-hans19	ABRC-CS57723 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R1390	A-AFFY-2	P-AFFY-6	R1390	R1390.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57723	  	  
ABRC-CS57625 1	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57625	EFO	EFO_0000041	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57625 1	P-TABM-103	ABRC-CS57625 1	total_RNA	P-TABM-hans19	ABRC-CS57625 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R314	A-AFFY-2	P-AFFY-6	R314	R314.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57625	EFO	EFO_0000041
ABRC-CS57698 1	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57698	  	  	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57698 1	P-TABM-103	ABRC-CS57698 1	total_RNA	P-TABM-hans19	ABRC-CS57698 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R942	A-AFFY-2	P-AFFY-6	R942	R942.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57698	  	  
ABRC-CS57666 2	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57666	EFO	EFO_0000058	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57666 2	P-TABM-103	ABRC-CS57666 2	total_RNA	P-TABM-hans19	ABRC-CS57666 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R590	A-AFFY-2	P-AFFY-6	R590	R590.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57666	EFO	EFO_0000058
ABRC-CS57706 1	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57706	EFO	EFO_0000067	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57706 1	P-TABM-103	ABRC-CS57706 1	total_RNA	P-TABM-hans19	ABRC-CS57706 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R368	A-AFFY-2	P-AFFY-6	R368	R368.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57706	EFO	EFO_0000067
ABRC-CS57577 1	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57577	  	  	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57577 1	P-TABM-103	ABRC-CS57577 1	total_RNA	P-TABM-hans19	ABRC-CS57577 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R957	A-AFFY-2	P-AFFY-6	R957	R957.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57577	  	  
ABRC-CS57537 1	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57537	EFO	EFO_0000007	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57537 1	P-TABM-103	ABRC-CS57537 1	total_RNA	P-TABM-hans19	ABRC-CS57537 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R369	A-AFFY-2	P-AFFY-6	R369	R369.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57537	EFO	EFO_0000007
ABRC-CS57923 2	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57923	EFO	EFO_0000165	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57923 2	P-TABM-103	ABRC-CS57923 2	total_RNA	P-TABM-hans19	ABRC-CS57923 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R571	A-AFFY-2	P-AFFY-6	R571	R571.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57923	EFO	EFO_0000165
ABRC-CS57647 1	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57647	  	  	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57647 1	P-TABM-103	ABRC-CS57647 1	total_RNA	P-TABM-hans19	ABRC-CS57647 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R937	A-AFFY-2	P-AFFY-6	R937	R937.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57647	  	  
ABRC-CS57775 2	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57775	  	  	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57775 2	P-TABM-103	ABRC-CS57775 2	total_RNA	P-TABM-hans19	ABRC-CS57775 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R758	A-AFFY-2	P-AFFY-6	R758	R758.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57775	  	  
ABRC-CS57760 2	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57760	  	  	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57760 2	P-TABM-103	ABRC-CS57760 2	total_RNA	P-TABM-hans19	ABRC-CS57760 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R1350	A-AFFY-2	P-AFFY-6	R1350	R1350.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57760	  	  
ABRC-CS57616 1	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57616	EFO	EFO_0000034	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57616 1	P-TABM-103	ABRC-CS57616 1	total_RNA	P-TABM-hans19	ABRC-CS57616 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R319	A-AFFY-2	P-AFFY-6	R319	R319.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57616	EFO	EFO_0000034
ABRC-CS57645 1	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57645	  	  	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57645 1	P-TABM-103	ABRC-CS57645 1	total_RNA	P-TABM-hans19	ABRC-CS57645 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R1123	A-AFFY-2	P-AFFY-6	R1123	R1123.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57645	  	  
ABRC-CS57556 2	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57556	EFO	EFO_0000014	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57556 2	P-TABM-103	ABRC-CS57556 2	total_RNA	P-TABM-hans19	ABRC-CS57556 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R562	A-AFFY-2	P-AFFY-6	R562	R562.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57556	EFO	EFO_0000014
ABRC-CS57756 1	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57756	  	  	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57756 1	P-TABM-103	ABRC-CS57756 1	total_RNA	P-TABM-hans19	ABRC-CS57756 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R1146	A-AFFY-2	P-AFFY-6	R1146	R1146.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57756	  	  
ABRC-CS57814 2	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57814	  	  	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57814 2	P-TABM-103	ABRC-CS57814 2	total_RNA	P-TABM-hans19	ABRC-CS57814 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R1400	A-AFFY-2	P-AFFY-6	R1400	R1400.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57814	  	  
ABRC-CS57785 2	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57785	EFO	EFO_0000118	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57785 2	P-TABM-103	ABRC-CS57785 2	total_RNA	P-TABM-hans19	ABRC-CS57785 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R560	A-AFFY-2	P-AFFY-6	R560	R560.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57785	EFO	EFO_0000118
ABRC-CS57715 1	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57715	EFO	EFO_0000071	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57715 1	P-TABM-103	ABRC-CS57715 1	total_RNA	P-TABM-hans19	ABRC-CS57715 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R327	A-AFFY-2	P-AFFY-6	R327	R327.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57715	EFO	EFO_0000071
ABRC-CS57699 2	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57699	EFO	EFO_0000063	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57699 2	P-TABM-103	ABRC-CS57699 2	total_RNA	P-TABM-hans19	ABRC-CS57699 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R543	A-AFFY-2	P-AFFY-6	R543	R543.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57699	EFO	EFO_0000063
ABRC-CS57860 2	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57860	  	  	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57860 2	P-TABM-103	ABRC-CS57860 2	total_RNA	P-TABM-hans19	ABRC-CS57860 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R1583	A-AFFY-2	P-AFFY-6	R1583	R1583.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57860	  	  
ABRC-CS57530 2	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57530	  	  	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57530 2	P-TABM-103	ABRC-CS57530 2	total_RNA	P-TABM-hans19	ABRC-CS57530 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R1312	A-AFFY-2	P-AFFY-6	R1312	R1312.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57530	  	  
ABRC-CS57586 2	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57586	EFO	EFO_0000023	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57586 2	P-TABM-103	ABRC-CS57586 2	total_RNA	P-TABM-hans19	ABRC-CS57586 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R774	A-AFFY-2	P-AFFY-6	R774	R774.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57586	EFO	EFO_0000023
ABRC-CS57695 2	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57695	  	  	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57695 2	P-TABM-103	ABRC-CS57695 2	total_RNA	P-TABM-hans19	ABRC-CS57695 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R1322	A-AFFY-2	P-AFFY-6	R1322	R1322.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57695	  	  
ABRC-CS57543 1	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57543	EFO	EFO_0000009	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57543 1	P-TABM-103	ABRC-CS57543 1	total_RNA	P-TABM-hans19	ABRC-CS57543 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R365	A-AFFY-2	P-AFFY-6	R365	R365.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57543	EFO	EFO_0000009
ABRC-CS57596 2	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57596	EFO	EFO_0000027	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57596 2	P-TABM-103	ABRC-CS57596 2	total_RNA	P-TABM-hans19	ABRC-CS57596 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R781	A-AFFY-2	P-AFFY-6	R781	R781.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57596	EFO	EFO_0000027
ABRC-CS57698 2	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57698	  	  	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57698 2	P-TABM-103	ABRC-CS57698 2	total_RNA	P-TABM-hans19	ABRC-CS57698 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R1599	A-AFFY-2	P-AFFY-6	R1599	R1599.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57698	  	  
