TFName 	 TFLocus 	 TargetName 	 TargetLocus 	 IsTF 	 TargetType 	 Confirmation 	 InteractionType
AGL15 	 AT5G13790 	 AT5G27320 	 AT5G27320 	 No 	 Direct 	 Confirmed 	 Unknown
AGL15 	 AT5G13790 	 AT5G61590 	 AT5G61590 	 Yes 	 Direct 	 Confirmed 	 Unknown
AGL15 	 AT5G13790 	 ATGA2ox6 	 AT1G02400 	 No 	 Direct 	 Confirmed 	 Repression
AGL15 	 AT5G13790 	 AtbHLH15 	 AT2G20180 	 Yes 	 Direct 	 Confirmed 	 Unknown
AGL15 	 AT5G13790 	 AtbZIP37 	 AT4G34000 	 Yes 	 Direct 	 Confirmed 	 Unknown
AGL15 	 AT5G13790 	 CBF2 	 AT4G25470 	 Yes 	 Direct 	 Confirmed 	 Repression
AGL15 	 AT5G13790 	 FLC 	 AT5G10140 	 Yes 	 Direct 	 Confirmed 	 Unknown
AGL15 	 AT5G13790 	 FUS3 	 AT3G26790 	 Yes 	 Direct 	 Confirmed 	 Activation
AGL15 	 AT5G13790 	 GAI 	 AT1G14920 	 Yes 	 Direct 	 Confirmed 	 Unknown
AGL15 	 AT5G13790 	 IAA30 	 AT3G62100 	 No 	 Direct 	 Confirmed 	 Activation
AGL15 	 AT5G13790 	 LEC2 	 AT1G28300 	 Yes 	 Direct 	 Confirmed 	 Activation
AGL15 	 AT5G13790 	 RAV1 	 AT1G13260 	 Yes 	 Direct 	 Confirmed 	 Unknown
AGL15 	 AT5G13790 	 RAV2 	 AT1G68840 	 Yes 	 Direct 	 Confirmed 	 Unknown
AGL16 	 AT3G57230 	 AT4CL1 	 AT1G51680 	 No 	 Direct 	 Confirmed 	 \N
AGL35 	 AT5G26630 	 CESA4 	 AT5G44030 	 No 	 Direct 	 Confirmed 	 Activation
AGL35  	 AT5G26630  	 CESA4 	 AT5G44030 	 No 	 Direct 	 Confirmed 	 Activation
AGL56 	 AT1G60880 	 CESA4 	 AT5G44030 	 No 	 Direct 	 Confirmed 	 Activation
AGL85 	 AT1G54760 	 CESA4 	 AT5G44030 	 No 	 Direct 	 Confirmed 	 Activation
AIF3 	 AT3G17100 	 GUX2 	 AT4G33330 	 No 	 Direct 	 Confirmed 	 \N
AIL3 	 AT3G20840 	 FLY1 	 AT4G28370 	 No 	 Direct 	 Confirmed 	 \N
AL4 	 AT5G26210 	 n/a 	 AT4G35160 	 N/A 	 Direct 	 Confirmed 	 \N
AL6 	 AT2G02470 	 PHV 	 AT1G30490 	 Yes 	 Direct 	 Confirmed 	 \N
ALC 	 AT5G67110 	 HAK5 	 AT4G13420 	 No 	 Direct 	 Confirmed 	 Unknown
ANAC019 	 AT1G52890 	 ERD2 	 AT1G56410 	 No 	 Direct 	 Confirmed 	 Activation
ANAC075 	 AT4G29230 	 VND7 	 AT1G71930 	 Yes 	 Direct 	 Confirmed 	 Activation
ANAC087 	 AT5G18270 	 AT4CL1 	 AT1G51680 	 No 	 Direct 	 Confirmed 	 \N
ANAC087 	 AT5G18270 	 REF3 	 AT2G30490 	 No 	 Direct 	 Confirmed 	 \N
ANAC102 	 AT5G63790 	 ?BGLU46 	 AT1G61820 	 No 	 Direct 	 Confirmed 	 \N
ANAC102 	 AT5G63790 	 ?REF8 	 AT2G40890 	 No 	 Direct 	 Confirmed 	 \N
ANAC102 	 AT5G63790 	 ?VND7 	 AT1G71930 	 Yes 	 Direct 	 Confirmed 	 \N
ANAC102 	 AT5G63790 	 AT4CL1 	 AT1G51680 	 No 	 Direct 	 Confirmed 	 \N
ANAC102 	 AT5G63790 	 BLH3 	 AT1G75410 	 Yes 	 Direct 	 Confirmed 	 \N
ANAC102 	 AT5G63790 	 CAD4 	 AT3G19450 	 No 	 Direct 	 Confirmed 	 \N
ANAC102 	 AT5G63790 	 CCOAOMT1 	 AT4G34050 	 No 	 Direct 	 Confirmed 	 \N
ANAC102 	 AT5G63790 	 GUX2 	 AT4G33330 	 No 	 Direct 	 Confirmed 	 \N
ANAC102 	 AT5G63790 	 HCT 	 AT5G48930 	 No 	 Direct 	 Confirmed 	 \N
ANAC102 	 AT5G63790 	 IRX9 	 AT2G37090 	 No 	 Direct 	 Confirmed 	 \N
ANAC102 	 AT5G63790 	 MYB46 	 AT5G12870 	 Yes 	 Direct 	 Confirmed 	 \N
ANAC102 	 AT5G63790 	 PHB 	 AT2G34710 	 Yes 	 Direct 	 Confirmed 	 \N
ANAC102 	 AT5G63790 	 PHV 	 AT1G30490 	 Yes 	 Direct 	 Confirmed 	 \N
ANAC102 	 AT5G63790 	 REV 	 AT5G60690 	 Yes 	 Direct 	 Confirmed 	 \N
ANAC102 	 AT5G63790 	 n/a 	 AT4G27435 	 N/A 	 Direct 	 Confirmed 	 \N
ANAC102 	 AT5G63790 	 n/a 	 AT5G60720 	 N/A 	 Direct 	 Confirmed 	 \N
ANACO87 	 AT5G18270 	 HCT 	 AT5G48930 	 No 	 Direct 	 Confirmed 	 \N
ANACO87 	 AT5G18270 	 PHB 	 AT2G34710 	 Yes 	 Direct 	 Confirmed 	 \N
AP1 	 AT1G69120 	 AGL24 	 AT4G24540 	 Yes 	 Direct 	 Confirmed 	 Repression
AP1 	 AT1G69120 	 AP3 	 AT3G54340 	 Yes 	 Direct 	 Confirmed 	 Activation
AP1 	 AT1G69120 	 FT 	 AT1G65480 	 No 	 Direct 	 Confirmed 	 Repression
AP1 	 AT1G69120 	 LFY 	 AT5G61850 	 Yes 	 Direct 	 Confirmed 	 PositiveLoop
AP1 	 AT1G69120 	 SPL9 	 AT2G42200 	 Yes 	 Direct 	 Confirmed 	 Repression
AP1 	 AT1G69120 	 TFL1 	 AT5G03840 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AG 	 AT4G18960 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AGAMOUS-LIKE15 	 N/A 	 N/A 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AGF2 	 AT3G55560 	 Yes 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AGL1 	 AT3G58780 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AGL15 	 AT5G13790 	 Yes 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AGL20 	 AT2G45660 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AGL44 	 AT2G14210 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 ANL2 	 AT4G00730 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AP2 	 AT4G36920 	 Yes 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 ARF11 	 AT2G46530 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT1G02070 	 AT1G02070 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT1G02190 	 AT1G02190 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT1G02205 	 AT1G02205 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT1G03710 	 AT1G03710 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT1G07260 	 AT1G07260 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT1G11050 	 AT1G11050 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT1G11730 	 AT1G11730 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT1G12080 	 AT1G12080 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT1G14280 	 AT1G14280 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT1G19330 	 AT1G19330 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT1G19640 	 AT1G19640 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT1G19650 	 AT1G19650 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT1G22530 	 AT1G22530 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT1G23390 	 AT1G23390 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT1G29270 	 AT1G29270 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT1G34750 	 AT1G34750 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT1G35730 	 AT1G35730 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT1G35910 	 AT1G35910 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT1G49230 	 AT1G49230 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT1G50290 	 AT1G50290 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT1G51460 	 AT1G51460 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT1G53090 	 AT1G53090 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT1G60540 	 AT1G60540 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT1G61580 	 AT1G61580 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT1G64380 	 AT1G64380 	 Yes 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT1G68710 	 AT1G68710 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT1G69295 	 AT1G69295 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT1G69530 	 AT1G69530 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT1G70560 	 AT1G70560 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT1G71050 	 AT1G71050 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT1G72320 	 AT1G72320 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT1G72500 	 AT1G72500 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT1G73590 	 AT1G73590 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT1G73805 	 AT1G73805 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT1G75580 	 AT1G75580 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT1G75880 	 AT1G75880 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT1G78960 	 AT1G78960 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT1G80100 	 AT1G80100 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT2G15320 	 AT2G15320 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT2G16760 	 AT2G16760 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT2G18470 	 AT2G18470 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT2G18550 	 AT2G18550 	 Yes 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT2G21650 	 AT2G21650 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT2G22170 	 AT2G22170 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT2G25150 	 AT2G25150 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT2G26040 	 AT2G26040 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT2G26520 	 AT2G26520 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT2G31980 	 AT2G31980 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT2G35820 	 AT2G35820 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT2G38060 	 AT2G38060 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT2G38110 	 AT2G38110 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT2G38970 	 AT2G38970 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT2G40130 	 AT2G40130 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT2G40435 	 AT2G40435 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT2G41990 	 AT2G41990 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT2G42800 	 AT2G42800 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT2G42870 	 AT2G42870 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT2G43620 	 AT2G43620 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT2G45680 	 AT2G45680 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT2G48110 	 AT2G48110 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT3G04620 	 AT3G04620 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT3G05690 	 AT3G05690 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT3G06750 	 AT3G06750 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT3G07450 	 AT3G07450 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT3G11820 	 AT3G11820 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT3G12320 	 AT3G12320 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT3G12610 	 AT3G12610 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT3G16650 	 AT3G16650 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT3G19370 	 AT3G19370 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT3G25905 	 AT3G25905 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT3G26090 	 AT3G26090 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT3G27770 	 AT3G27770 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT3G29575 	 AT3G29575 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT3G43960 	 AT3G43960 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT3G45140 	 AT3G45140 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT3G45780 	 AT3G45780 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT3G47680 	 AT3G47680 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT3G50270 	 AT3G50270 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT3G50700 	 AT3G50700 	 Yes 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT3G52480 	 AT3G52480 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT3G55710 	 AT3G55710 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT3G55980 	 AT3G55980 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT3G60690 	 AT3G60690 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT3G63460 	 AT3G63460 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT4G01120 	 AT4G01120 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT4G02540 	 AT4G02540 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT4G03400 	 AT4G03400 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT4G04630 	 AT4G04630 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT4G08950 	 AT4G08950 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT4G13210 	 AT4G13210 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT4G14130 	 AT4G14130 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT4G16490 	 AT4G16490 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT4G16770 	 AT4G16770 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT4G17670 	 AT4G17670 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT4G19240 	 AT4G19240 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT4G20260 	 AT4G20260 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT4G21870 	 AT4G21870 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT4G24050 	 AT4G24050 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT4G24510 	 AT4G24510 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT4G25170 	 AT4G25170 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT4G25420 	 AT4G25420 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT4G26690 	 AT4G26690 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT4G27240 	 AT4G27240 	 Yes 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT4G28560 	 AT4G28560 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT4G29190 	 AT4G29190 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT4G30490 	 AT4G30490 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT4G37540 	 AT4G37540 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT5G01600 	 AT5G01600 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT5G02890 	 AT5G02890 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT5G04020 	 AT5G04020 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT5G05860 	 AT5G05860 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT5G06530 	 AT5G06530 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT5G07030 	 AT5G07030 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT5G13400 	 AT5G13400 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT5G14550 	 AT5G14550 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT5G19140 	 AT5G19140 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT5G20250 	 AT5G20250 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT5G24710 	 AT5G24710 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT5G43680 	 AT5G43680 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT5G44680 	 AT5G44680 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT5G45160 	 AT5G45160 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT5G46340 	 AT5G46340 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT5G49120 	 AT5G49120 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT5G49360 	 AT5G49360 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT5G54470 	 AT5G54470 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT5G58900 	 AT5G58900 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT5G60400 	 AT5G60400 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT5G61590 	 AT5G61590 	 Yes 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT5G62000 	 AT5G62000 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT5G62360 	 AT5G62360 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AT5G64640 	 AT5G64640 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT5G64870 	 AT5G64870 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AT5G67180 	 AT5G67180 	 No 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 ATMYBL2 	 AT1G71030 	 Yes 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AtCAMTA2 	 AT5G64220 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AtGRF1 	 AT2G22840 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AtMYB16 	 AT5G15310 	 Yes 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AtWRKY22 	 AT4G01250 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 AtWRKY23 	 AT2G47260 	 Yes 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 AtbHLH88 	 AT5G67060 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 BLH2 	 AT4G36870 	 Yes 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 CBF3 	 AT4G25480 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 FLP 	 AT1G14350 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 PHYA 	 AT1G09570 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 RAV1 	 AT1G13260 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 RD20 	 AT2G33380 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 RGL1 	 AT1G66350 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 Rap2.12 	 AT4G34410 	 Yes 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 SDD1 	 AT1G04110 	 No 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 SHINE1 	 AT1G15360 	 Yes 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 SHP2 	 AT2G42830 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 SOC1 	 AT2G45660 	 Yes 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 SPL4 	 AT1G53160 	 Yes 	 Direct 	 Confirmed 	 Repression
AP2 	 AT4G36920 	 TOE1 	 AT2G28550 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 ZAT10 	 AT1G27730 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 ZFP7 	 AT1G24625 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2 	 AT4G36920 	 ZFP8 	 AT2G41940 	 Yes 	 Direct 	 Confirmed 	 Activation
AP2/EREBP 	 AT5G07580 	 CESA4 	 AT5G44030 	 No 	 Direct 	 Confirmed 	 Activation
AP2/EREBP  	 AT5G07580  	 CESA4 	 AT5G44030 	 No 	 Direct 	 Confirmed 	 Activation
