Source Name	Material Type	Characteristics[organism]	Characteristics[specimen with known storage state]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Characteristics[initial time point]	Characteristics[organism part]	Characteristics[genotype]	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Technology Type	Array Design REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[age]	Unit[time unit]	Factor Value[genotype]	Factor Value[time]	Unit[time unit]
Col-0 day0 C	organism part	Arabidopsis thaliana	frozen specimen	seedling	25	day	germination	apical shoot meristem	wild type genotype	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_Col-0 day0 C	P-MTAB-35733	L_Col-0 day0 C	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_Col-0 day0 C	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	Col-0_day0_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	25	day	wild type genotype	0	day
Col-0 day3 A	organism part	Arabidopsis thaliana	frozen specimen	seedling	28	day	germination	apical shoot meristem	wild type genotype	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_Col-0 day3 A	P-MTAB-35733	L_Col-0 day3 A	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_Col-0 day3 A	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	Col-0_day3_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	28	day	wild type genotype	3	day
Col-0 day3 B	organism part	Arabidopsis thaliana	frozen specimen	seedling	28	day	germination	apical shoot meristem	wild type genotype	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_Col-0 day3 B	P-MTAB-35733	L_Col-0 day3 B	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_Col-0 day3 B	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	Col-0_day3_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	28	day	wild type genotype	3	day
Col-0 day3 C	organism part	Arabidopsis thaliana	frozen specimen	seedling	28	day	germination	apical shoot meristem	wild type genotype	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_Col-0 day3 C	P-MTAB-35733	L_Col-0 day3 C	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_Col-0 day3 C	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	Col-0_day3_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	28	day	wild type genotype	3	day
Col-0 day5 A	organism part	Arabidopsis thaliana	frozen specimen	seedling	30	day	germination	apical shoot meristem	wild type genotype	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_Col-0 day5 A	P-MTAB-35733	L_Col-0 day5 A	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_Col-0 day5 A	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	Col-0_day5_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	30	day	wild type genotype	5	day
Col-0 day5 B	organism part	Arabidopsis thaliana	frozen specimen	seedling	30	day	germination	apical shoot meristem	wild type genotype	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_Col-0 day5 B	P-MTAB-35733	L_Col-0 day5 B	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_Col-0 day5 B	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	Col-0_day5_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	30	day	wild type genotype	5	day
Col-0 day5 C	organism part	Arabidopsis thaliana	frozen specimen	seedling	30	day	germination	apical shoot meristem	wild type genotype	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_Col-0 day5 C	P-MTAB-35733	L_Col-0 day5 C	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_Col-0 day5 C	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	Col-0_day5_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	30	day	wild type genotype	5	day
Col-0 day7 A	organism part	Arabidopsis thaliana	frozen specimen	seedling	32	day	germination	apical shoot meristem	wild type genotype	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_Col-0 day7 A	P-MTAB-35733	L_Col-0 day7 A	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_Col-0 day7 A	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	Col-0_day7_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	32	day	wild type genotype	7	day
Col-0 day7 B	organism part	Arabidopsis thaliana	frozen specimen	seedling	32	day	germination	apical shoot meristem	wild type genotype	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_Col-0 day7 B	P-MTAB-35733	L_Col-0 day7 B	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_Col-0 day7 B	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	Col-0_day7_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	32	day	wild type genotype	7	day
Col-0 day7 C	organism part	Arabidopsis thaliana	frozen specimen	seedling	32	day	germination	apical shoot meristem	wild type genotype	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_Col-0 day7 C	P-MTAB-35733	L_Col-0 day7 C	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_Col-0 day7 C	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	Col-0_day7_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	32	day	wild type genotype	7	day
fd day0 A	organism part	Arabidopsis thaliana	frozen specimen	seedling	28	day	germination	apical shoot meristem	fd-3	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_fd day0 A	P-MTAB-35733	L_fd day0 A	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_fd day0 A	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	fd_day0_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	28	day	fd-3	0	day
fd day0 B	organism part	Arabidopsis thaliana	frozen specimen	seedling	28	day	germination	apical shoot meristem	fd-3	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_fd day0 B	P-MTAB-35733	L_fd day0 B	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_fd day0 B	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	fd_day0_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	28	day	fd-3	0	day
fd day3 A	organism part	Arabidopsis thaliana	frozen specimen	seedling	31	day	germination	apical shoot meristem	fd-3	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_fd day3 A	P-MTAB-35733	L_fd day3 A	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_fd day3 A	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	fd_day3_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	31	day	fd-3	3	day
fd day3 B	organism part	Arabidopsis thaliana	frozen specimen	seedling	31	day	germination	apical shoot meristem	fd-3	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_fd day3 B	P-MTAB-35733	L_fd day3 B	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_fd day3 B	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	fd_day3_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	31	day	fd-3	3	day
fd day5 A	organism part	Arabidopsis thaliana	frozen specimen	seedling	33	day	germination	apical shoot meristem	fd-3	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_fd day5 A	P-MTAB-35733	L_fd day5 A	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_fd day5 A	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	fd_day5_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	33	day	fd-3	5	day
fd day5 B	organism part	Arabidopsis thaliana	frozen specimen	seedling	33	day	germination	apical shoot meristem	fd-3	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_fd day5 B	P-MTAB-35733	L_fd day5 B	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_fd day5 B	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	fd_day5_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	33	day	fd-3	5	day
fd day7 A	organism part	Arabidopsis thaliana	frozen specimen	seedling	35	day	germination	apical shoot meristem	fd-3	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_fd day7 A	P-MTAB-35733	L_fd day7 A	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_fd day7 A	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	fd_day7_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	35	day	fd-3	7	day
fd day7 B	organism part	Arabidopsis thaliana	frozen specimen	seedling	35	day	germination	apical shoot meristem	fd-3	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_fd day7 B	P-MTAB-35733	L_fd day7 B	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_fd day7 B	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	fd_day7_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	35	day	fd-3	7	day
soc1 day0 A	organism part	Arabidopsis thaliana	frozen specimen	seedling	25	day	germination	apical shoot meristem	soc1-6 (SALK_138131)	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_soc1 day0 A	P-MTAB-35733	L_soc1 day0 A	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_soc1 day0 A	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	soc1_day0_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	25	day	soc1-6 (SALK_138131)	0	day
soc1 day0 B	organism part	Arabidopsis thaliana	frozen specimen	seedling	25	day	germination	apical shoot meristem	soc1-6 (SALK_138131)	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_soc1 day0 B	P-MTAB-35733	L_soc1 day0 B	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_soc1 day0 B	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	soc1_day0_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	25	day	soc1-6 (SALK_138131)	0	day
soc1 day3 A	organism part	Arabidopsis thaliana	frozen specimen	seedling	28	day	germination	apical shoot meristem	soc1-6 (SALK_138131)	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_soc1 day3 A	P-MTAB-35733	L_soc1 day3 A	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_soc1 day3 A	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	soc1_day3_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	28	day	soc1-6 (SALK_138131)	3	day
soc1 day3 B	organism part	Arabidopsis thaliana	frozen specimen	seedling	28	day	germination	apical shoot meristem	soc1-6 (SALK_138131)	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_soc1 day3 B	P-MTAB-35733	L_soc1 day3 B	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_soc1 day3 B	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	soc1_day3_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	28	day	soc1-6 (SALK_138131)	3	day
soc1 day5 A	organism part	Arabidopsis thaliana	frozen specimen	seedling	30	day	germination	apical shoot meristem	soc1-6 (SALK_138131)	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_soc1 day5 A	P-MTAB-35733	L_soc1 day5 A	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_soc1 day5 A	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	soc1_day5_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	30	day	soc1-6 (SALK_138131)	5	day
soc1 day5 B	organism part	Arabidopsis thaliana	frozen specimen	seedling	30	day	germination	apical shoot meristem	soc1-6 (SALK_138131)	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_soc1 day5 B	P-MTAB-35733	L_soc1 day5 B	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_soc1 day5 B	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	soc1_day5_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	30	day	soc1-6 (SALK_138131)	5	day
soc1 day7 A	organism part	Arabidopsis thaliana	frozen specimen	seedling	32	day	germination	apical shoot meristem	soc1-6 (SALK_138131)	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_soc1 day7 A	P-MTAB-35733	L_soc1 day7 A	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_soc1 day7 A	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	soc1_day7_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	32	day	soc1-6 (SALK_138131)	7	day
soc1 day7 B	organism part	Arabidopsis thaliana	frozen specimen	seedling	32	day	germination	apical shoot meristem	soc1-6 (SALK_138131)	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_soc1 day7 B	P-MTAB-35733	L_soc1 day7 B	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_soc1 day7 B	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	soc1_day7_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	32	day	soc1-6 (SALK_138131)	7	day
